ID,ANO,RELATOR,CLASSE
454,1551861,1996,MIN. MARCO AURÉLIO,RE
455,1551869,1996,MIN. MARCO AURÉLIO,RE
456,1551917,1996,MIN. SEPÚLVEDA PERTENCE,RE
457,1551963,1996,MIN. NÉRI DA SILVEIRA,RE
458,1552030,1996,MIN. MARCO AURÉLIO,RE
459,1552353,1996,MIN. CARLOS VELLOSO,RE
460,1552561,1996,MIN. OCTAVIO GALLOTTI,RE
461,1552596,1996,MIN. ILMAR GALVÃO,RE
462,1552645,1996,MIN. MOREIRA ALVES,RE
463,1552683,1996,MIN. NÉRI DA SILVEIRA,AI
464,1552807,1996,MIN. NÉRI DA SILVEIRA,RE
465,1552813,1996,MIN. OCTAVIO GALLOTTI,AI
466,1552829,1996,MIN. CARLOS VELLOSO,RE
467,1552941,1996,MIN. MOREIRA ALVES,RE
468,1553031,1996,MIN. MOREIRA ALVES,RE
469,1553032,1996,MIN. OCTAVIO GALLOTTI,RE
470,1553125,1996,MIN. NÉRI DA SILVEIRA,RE
471,1553142,1996,MIN. MOREIRA ALVES,RE
472,1553182,1996,MIN. CELSO DE MELLO,RE
473,1553211,1996,MIN. MAURÍCIO CORRÊA,RE
474,1553231,1996,MIN. NÉRI DA SILVEIRA,RE
475,1553233,1996,MIN. ILMAR GALVÃO,RE
476,1553287,1996,MIN. OCTAVIO GALLOTTI,RE
477,1553307,1996,MIN. FRANCISCO REZEK,RE
478,1553413,1996,MIN. MOREIRA ALVES,RE
479,1553554,1996,MIN. ILMAR GALVÃO,RE
480,1553566,1996,MIN. CARLOS VELLOSO,RE
481,1553651,1996,MIN. MOREIRA ALVES,RE
